Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date,Year,Month,Gender,Units Purchased,Price per Unit (₹),Brand Name,Country,State
Fresh,Toner,651.38,3.8,43,Oily,56+,Glycolic Acid,Lactic Acid,Acne,10/13/2023,2023,October,Male,2,325.69,Fresh,India,Delhi
La Roche-Posay,Exfoliant,1117.5,5,22,Oily,56+,Tea Tree Oil,Jojoba Oil,Acne,12/19/2023,2023,December,Female,4,279.375,La Roche-Posay,India,Delhi
Glossier,Moisturizer,2069.25,4.7,27,Acne-prone,46-55,Retinol,Ceramides,Hyperpigmentation,1/10/2024,2024,January,Male,5,413.85,Glossier,India,Delhi
Tatcha,Moisturizer,2492.11,4.7,36,Dry,36-45,Lactic Acid,Kojic Acid,Sensitivity,3/25/2025,2025,March,Male,4,623.0275,Tatcha,India,Delhi
Estee Lauder,Face Mask,1391.95,3.5,529,Oily,56+,Alpha Arbutin,Jojoba Oil,Acne,8/14/2025,2025,August,Female,3,463.9833333,Estee Lauder,USA,New York
Skinceuticals,Cleanser,1671.67,3.6,62,Normal,56+,Bakuchiol,Niacinamide,Redness,2/19/2025,2025,February,Female,2,835.835,Skinceuticals,India,Delhi
Estee Lauder,Exfoliant,1488.39,5,6,Normal,18-25,Jojoba Oil,Squalane,Pores,5/5/2025,2025,May,Male,3,496.13,Estee Lauder,USA,New York
Rare Beauty,Exfoliant,1790.41,2.6,214,Acne-prone,18-25,Zinc Oxide,Tea Tree Oil,Fine lines,2/5/2024,2024,February,Male,1,1790.41,Rare Beauty,USA,California
Paula's Choice,Exfoliant,1185.98,3.8,172,Dry,26-35,Bakuchiol,Ceramides,Acne,9/26/2024,2024,September,Female,1,1185.98,Paula's Choice,India,Delhi
Paula's Choice,Exfoliant,1891.94,5,59,Combination,26-35,Squalane,Kojic Acid,Hyperpigmentation,4/14/2024,2024,April,Female,4,472.985,Paula's Choice,India,Delhi
Fenty Beauty,Night Cream,1984.07,3.8,41,Combination,36-45,Lactic Acid,Alpha Arbutin,Hyperpigmentation,3/15/2025,2025,March,Female,5,396.814,Fenty Beauty,India,Delhi
Clinique,Facial Oil,2344.83,4.7,198,Sensitive,26-35,Niacinamide,Peptides,Sensitivity,3/24/2024,2024,March,Female,3,781.61,Clinique,USA,Chicago
Origins,Exfoliant,1538.47,4,16,Oily,36-45,Vitamin C,Benzoyl Peroxide,Hyperpigmentation,11/29/2024,2024,November,Male,5,307.694,Origins,India,Delhi
Skinceuticals,Sunscreen,1530.13,4.6,80,Oily,56+,Tea Tree Oil,Lactic Acid,Dullness,1/17/2024,2024,January,Female,4,382.5325,Skinceuticals,India,Delhi
Glossier,Moisturizer,1255.29,5,119,Oily,26-35,Glycolic Acid,Lactic Acid,Dullness,12/9/2024,2024,December,Female,1,1255.29,Glossier,India,Delhi
Aveeno,Facial Oil,1214.38,3.6,5,Sensitive,46-55,Benzoyl Peroxide,Titanium Dioxide,Sensitivity,2/4/2025,2025,February,Male,5,242.876,Aveeno,India,Delhi
Drunk Elephant,Facial Oil,3334.63,4.8,42,Combination,26-35,Benzoyl Peroxide,Salicylic Acid,Pores,12/17/2024,2024,December,Female,5,666.926,Drunk Elephant,India,Delhi
Tatcha,Sunscreen,1488.03,3.7,224,Combination,18-25,Squalane,Ceramides,Uneven texture,8/21/2024,2024,August,Male,1,1488.03,Tatcha,India,Delhi
Origins,Sunscreen,1498.99,5,30,Combination,36-45,Benzoyl Peroxide,Azelaic Acid,Hyperpigmentation,2/11/2024,2024,February,Female,3,499.6633333,Origins,India,Delhi
Clinique,Eye Cream,2997.14,5,426,Oily,18-25,Glycolic Acid,Zinc Oxide,Dryness,12/31/2024,2024,December,Female,1,2997.14,Clinique,USA,Chicago
La Roche-Posay,Facial Oil,2670.96,5,70,Normal,18-25,Lactic Acid,Kojic Acid,Dullness,4/17/2024,2024,April,Female,5,534.192,La Roche-Posay,India,Delhi
Fresh,Toner,1176.56,4.3,169,Sensitive,56+,Lactic Acid,Zinc Oxide,Anti-aging,11/24/2023,2023,November,Male,3,392.1866667,Fresh,India,Delhi
Origins,Exfoliant,1064.7,3.4,27,Dry,56+,Bakuchiol,Benzoyl Peroxide,Acne,8/6/2024,2024,August,Male,3,354.9,Origins,India,Delhi
Youth to the People,Cleanser,987.73,4.5,5,Acne-prone,46-55,Vitamin C,Bakuchiol,Hyperpigmentation,4/5/2024,2024,April,Female,1,987.73,Youth to the People,USA,Los Angeles
The Ordinary,Facial Oil,2555.31,4.7,17,Oily,26-35,Bakuchiol,Benzoyl Peroxide,Sensitivity,5/19/2024,2024,May,Male,5,511.062,The Ordinary,Canada,Toronto
Paula's Choice,Cleanser,1098.03,3.2,143,Combination,36-45,Tea Tree Oil,Niacinamide,Hyperpigmentation,2/21/2025,2025,February,Male,4,274.5075,Paula's Choice,India,Delhi
Fenty Beauty,Serum,1718.92,4.5,491,Oily,36-45,Bakuchiol,Hyaluronic Acid,Anti-aging,7/27/2025,2025,July,Male,5,343.784,Fenty Beauty,India,Delhi
Paula's Choice,Serum,2572.12,4.7,147,Combination,36-45,Kojic Acid,Bakuchiol,Oiliness,1/9/2025,2025,January,Male,2,1286.06,Paula's Choice,India,Delhi
Estee Lauder,Eye Cream,2684.36,5,328,Combination,18-25,Zinc Oxide,Alpha Arbutin,Acne,12/14/2023,2023,December,Male,4,671.09,Estee Lauder,USA,New York
L'Oreal,Facial Oil,1738.54,4.3,92,Acne-prone,26-35,Lactic Acid,Vitamin C,Anti-aging,7/7/2024,2024,July,Male,3,579.5133333,L'Oreal,France,Paris
Clinique,Eye Cream,3161.7,5,33,Sensitive,36-45,Alpha Arbutin,Lactic Acid,Anti-aging,8/22/2025,2025,August,Female,4,790.425,Clinique,USA,Chicago
Fresh,Toner,1120.96,3.9,32,Combination,36-45,Peptides,Benzoyl Peroxide,Dullness,12/14/2023,2023,December,Female,3,373.6533333,Fresh,India,Delhi
L'Oreal,Facial Oil,1174.07,5,285,Combination,46-55,Glycolic Acid,Squalane,Dark spots,10/19/2023,2023,October,Male,3,391.3566667,L'Oreal,France,Paris
Paula's Choice,Toner,764.07,4.1,56,Sensitive,56+,Azelaic Acid,Salicylic Acid,Dark spots,6/27/2025,2025,June,Female,4,191.0175,Paula's Choice,India,Delhi
Origins,Sunscreen,1614.99,4,81,Dry,56+,Peptides,Benzoyl Peroxide,Acne,8/30/2024,2024,August,Female,3,538.33,Origins,India,Delhi
Origins,Toner,1372.31,4.4,575,Dry,46-55,Titanium Dioxide,Hyaluronic Acid,Sensitivity,7/29/2024,2024,July,Female,3,457.4366667,Origins,India,Delhi
Glossier,Cleanser,740.15,3.2,44,Acne-prone,18-25,Hyaluronic Acid,Glycolic Acid,Oiliness,5/28/2025,2025,May,Female,2,370.075,Glossier,India,Delhi
Fresh,Facial Oil,1654.59,4.2,124,Dry,18-25,Tea Tree Oil,Squalane,Dryness,11/14/2023,2023,November,Male,5,330.918,Fresh,India,Delhi
Rare Beauty,Serum,2261.2,4,128,Acne-prone,36-45,Ceramides,Niacinamide,Fine lines,3/6/2025,2025,March,Female,5,452.24,Rare Beauty,USA,California
Tatcha,Serum,4031.42,5,41,Normal,26-35,Glycolic Acid,Lactic Acid,Dryness,8/30/2025,2025,August,Female,2,2015.71,Tatcha,India,Delhi
La Roche-Posay,Exfoliant,1589.87,4.3,18,Combination,46-55,Ceramides,Salicylic Acid,Dryness,10/26/2023,2023,October,Male,4,397.4675,La Roche-Posay,India,Delhi
L'Oreal,Exfoliant,1638.21,3.2,39,Oily,36-45,Alpha Arbutin,Vitamin C,Anti-aging,11/21/2024,2024,November,Male,1,1638.21,L'Oreal,France,Paris
Glossier,Sunscreen,848.22,3.7,15,Dry,56+,Glycolic Acid,Retinol,Oiliness,12/31/2023,2023,December,Female,1,848.22,Glossier,India,Delhi
Youth to the People,Eye Cream,2516.27,4.6,27,Sensitive,36-45,Squalane,Kojic Acid,Dryness,6/10/2024,2024,June,Female,1,2516.27,Youth to the People,USA,Los Angeles
Fresh,Night Cream,2048.28,4.6,96,Combination,36-45,Tea Tree Oil,Squalane,Oiliness,1/6/2024,2024,January,Female,2,1024.14,Fresh,India,Delhi
Drunk Elephant,Exfoliant,1580.12,4.7,24,Dry,26-35,Alpha Arbutin,Squalane,Dryness,8/28/2025,2025,August,Female,2,790.06,Drunk Elephant,India,Delhi
Fenty Beauty,Eye Cream,1957.1,5,43,Acne-prone,36-45,Hyaluronic Acid,Titanium Dioxide,Acne,6/19/2024,2024,June,Female,3,652.3666667,Fenty Beauty,India,Delhi
Aveeno,Exfoliant,2007.84,4.8,85,Normal,36-45,Jojoba Oil,Vitamin C,Hyperpigmentation,10/16/2023,2023,October,Female,1,2007.84,Aveeno,India,Delhi
CeraVe,Face Mask,681.28,2.9,26,Dry,56+,Ceramides,Bakuchiol,Pores,12/2/2024,2024,December,Male,4,170.32,CeraVe,India,Delhi
Olay,Moisturizer,851.17,4.1,60,Acne-prone,46-55,Titanium Dioxide,Lactic Acid,Sensitivity,6/15/2024,2024,June,Female,4,212.7925,Olay,USA,Ohio
Estee Lauder,Serum,3729.12,5,98,Dry,46-55,Zinc Oxide,Alpha Arbutin,Dryness,12/20/2023,2023,December,Female,1,3729.12,Estee Lauder,USA,New York
Fenty Beauty,Moisturizer,939.84,3.9,30,Dry,36-45,Glycolic Acid,Kojic Acid,Sensitivity,12/16/2023,2023,December,Male,1,939.84,Fenty Beauty,India,Delhi
Rare Beauty,Eye Cream,2227.85,3.4,286,Normal,46-55,Glycolic Acid,Tea Tree Oil,Anti-aging,11/5/2024,2024,November,Male,1,2227.85,Rare Beauty,USA,California
Glossier,Night Cream,2676.62,4.1,98,Normal,46-55,Titanium Dioxide,Salicylic Acid,Dullness,5/16/2024,2024,May,Male,2,1338.31,Glossier,India,Delhi
Neutrogena,Night Cream,3325.08,5,94,Acne-prone,26-35,Tea Tree Oil,Azelaic Acid,Redness,1/12/2024,2024,January,Male,2,1662.54,Neutrogena,USA,Los Angeles
Fenty Beauty,Toner,1098.78,3.6,92,Sensitive,36-45,Bakuchiol,Ceramides,Dryness,1/30/2025,2025,January,Female,2,549.39,Fenty Beauty,India,Delhi
Paula's Choice,Sunscreen,1348.81,5,218,Acne-prone,26-35,Salicylic Acid,Azelaic Acid,Acne,7/7/2024,2024,July,Female,5,269.762,Paula's Choice,India,Delhi
Skinceuticals,Night Cream,4399.38,5,33,Dry,18-25,Jojoba Oil,Retinol,Uneven texture,12/19/2023,2023,December,Female,4,1099.845,Skinceuticals,India,Delhi
Fenty Beauty,Face Mask,830.64,3.5,6,Oily,36-45,Jojoba Oil,Zinc Oxide,Dryness,8/29/2025,2025,August,Female,4,207.66,Fenty Beauty,India,Delhi
The Ordinary,Moisturizer,1982.58,4.9,90,Acne-prone,36-45,Squalane,Glycolic Acid,Acne,6/4/2025,2025,June,Female,3,660.86,The Ordinary,Canada,Toronto
Tatcha,Exfoliant,3334.82,3.8,456,Combination,36-45,Squalane,Retinol,Dullness,1/11/2024,2024,January,Female,2,1667.41,Tatcha,India,Delhi
Youth to the People,Facial Oil,2138.47,5,47,Dry,36-45,Glycolic Acid,Vitamin C,Redness,10/13/2023,2023,October,Male,5,427.694,Youth to the People,USA,Los Angeles
Skinceuticals,Facial Oil,3227.4,5,65,Normal,56+,Niacinamide,Vitamin C,Dullness,4/20/2024,2024,April,Female,5,645.48,Skinceuticals,India,Delhi
Rare Beauty,Facial Oil,1850.03,3.4,140,Dry,56+,Alpha Arbutin,Bakuchiol,Fine lines,4/19/2025,2025,April,Male,4,462.5075,Rare Beauty,USA,California
Clinique,Facial Oil,3737.71,5,40,Dry,46-55,Vitamin C,Glycolic Acid,Oiliness,11/1/2024,2024,November,Male,2,1868.855,Clinique,USA,Chicago
Origins,Cleanser,511.04,4.2,40,Oily,46-55,Vitamin C,Azelaic Acid,Oiliness,2/4/2024,2024,February,Female,3,170.3466667,Origins,India,Delhi
Glossier,Toner,887.08,3.9,19,Acne-prone,18-25,Benzoyl Peroxide,Peptides,Sensitivity,4/19/2024,2024,April,Male,2,443.54,Glossier,India,Delhi
Aveeno,Sunscreen,722,1.6,35,Sensitive,26-35,Alpha Arbutin,Zinc Oxide,Hyperpigmentation,8/9/2025,2025,August,Female,1,722,Aveeno,India,Delhi
Fresh,Moisturizer,903.63,4,254,Acne-prone,36-45,Alpha Arbutin,Hyaluronic Acid,Uneven texture,7/28/2024,2024,July,Male,2,451.815,Fresh,India,Delhi
Drunk Elephant,Facial Oil,4022.81,5,4,Sensitive,46-55,Niacinamide,Lactic Acid,Anti-aging,7/12/2025,2025,July,Female,1,4022.81,Drunk Elephant,India,Delhi
Drunk Elephant,Serum,2660.99,5,71,Oily,36-45,Salicylic Acid,Benzoyl Peroxide,Fine lines,5/30/2024,2024,May,Male,1,2660.99,Drunk Elephant,India,Delhi
Aveeno,Sunscreen,1031.28,2.9,133,Acne-prone,36-45,Alpha Arbutin,Jojoba Oil,Dryness,9/5/2024,2024,September,Female,3,343.76,Aveeno,India,Delhi
Neutrogena,Serum,2716.59,5,85,Sensitive,36-45,Benzoyl Peroxide,Bakuchiol,Sensitivity,3/11/2025,2025,March,Female,4,679.1475,Neutrogena,USA,Los Angeles
Origins,Cleanser,745.76,4.2,36,Acne-prone,56+,Benzoyl Peroxide,Glycolic Acid,Redness,6/24/2025,2025,June,Female,2,372.88,Origins,India,Delhi
Youth to the People,Face Mask,909.47,3.8,20,Sensitive,56+,Hyaluronic Acid,Lactic Acid,Dullness,10/11/2023,2023,October,Female,1,909.47,Youth to the People,USA,Los Angeles
Fenty Beauty,Night Cream,3244.24,5,99,Acne-prone,26-35,Peptides,Zinc Oxide,Acne,8/10/2024,2024,August,Female,2,1622.12,Fenty Beauty,India,Delhi
Origins,Sunscreen,781.22,4.4,294,Sensitive,18-25,Peptides,Glycolic Acid,Redness,1/5/2025,2025,January,Male,4,195.305,Origins,India,Delhi
Paula's Choice,Serum,2397.72,5,41,Oily,56+,Hyaluronic Acid,Vitamin C,Dark spots,3/21/2025,2025,March,Male,4,599.43,Paula's Choice,India,Delhi
Rare Beauty,Moisturizer,1734.7,4.1,43,Oily,18-25,Azelaic Acid,Benzoyl Peroxide,Acne,2/12/2025,2025,February,Male,5,346.94,Rare Beauty,USA,California
La Roche-Posay,Moisturizer,842.79,3.5,141,Combination,56+,Peptides,Bakuchiol,Pores,2/3/2025,2025,February,Female,4,210.6975,La Roche-Posay,India,Delhi
Olay,Exfoliant,1820.11,4.7,19,Sensitive,18-25,Ceramides,Salicylic Acid,Uneven texture,7/13/2024,2024,July,Male,3,606.7033333,Olay,USA,Ohio
Skinceuticals,Night Cream,4884.93,5,40,Dry,18-25,Tea Tree Oil,Salicylic Acid,Acne,10/30/2023,2023,October,Female,1,4884.93,Skinceuticals,India,Delhi
The Ordinary,Eye Cream,2889.49,4.8,17,Oily,46-55,Tea Tree Oil,Alpha Arbutin,Uneven texture,10/29/2024,2024,October,Female,5,577.898,The Ordinary,Canada,Toronto
Rare Beauty,Eye Cream,3221.75,5,323,Sensitive,56+,Ceramides,Retinol,Dullness,11/10/2024,2024,November,Male,3,1073.916667,Rare Beauty,USA,California
L'Oreal,Exfoliant,2268.72,5,130,Oily,56+,Benzoyl Peroxide,Vitamin C,Redness,8/19/2025,2025,August,Male,2,1134.36,L'Oreal,France,Paris
L'Oreal,Serum,1787.52,4,73,Combination,36-45,Salicylic Acid,Azelaic Acid,Redness,2/23/2024,2024,February,Female,1,1787.52,L'Oreal,France,Paris
Fenty Beauty,Face Mask,1066.16,3.2,18,Oily,56+,Vitamin C,Benzoyl Peroxide,Uneven texture,8/16/2025,2025,August,Male,4,266.54,Fenty Beauty,India,Delhi
Origins,Night Cream,1406.77,3.3,32,Combination,46-55,Kojic Acid,Benzoyl Peroxide,Fine lines,6/9/2024,2024,June,Female,1,1406.77,Origins,India,Delhi
Fenty Beauty,Face Mask,1064.82,4.8,10,Oily,18-25,Azelaic Acid,Tea Tree Oil,Oiliness,11/3/2023,2023,November,Female,2,532.41,Fenty Beauty,India,Delhi
Glossier,Serum,1493.93,3.5,162,Normal,46-55,Titanium Dioxide,Azelaic Acid,Sensitivity,4/5/2024,2024,April,Female,5,298.786,Glossier,India,Delhi
Rare Beauty,Face Mask,577.71,3.3,105,Combination,18-25,Alpha Arbutin,Lactic Acid,Pores,4/3/2024,2024,April,Female,5,115.542,Rare Beauty,USA,California
Fenty Beauty,Toner,1097.65,2.8,40,Acne-prone,56+,Titanium Dioxide,Retinol,Dark spots,8/8/2025,2025,August,Female,5,219.53,Fenty Beauty,India,Delhi
The Ordinary,Sunscreen,1172.22,3.8,174,Acne-prone,18-25,Jojoba Oil,Azelaic Acid,Redness,2/22/2024,2024,February,Male,4,293.055,The Ordinary,Canada,Toronto
Fresh,Facial Oil,2219.15,4.4,19,Normal,18-25,Vitamin C,Lactic Acid,Dryness,6/9/2024,2024,June,Male,3,739.7166667,Fresh,India,Delhi
Tatcha,Toner,1177.3,3.8,54,Acne-prone,18-25,Tea Tree Oil,Benzoyl Peroxide,Acne,7/1/2024,2024,July,Female,3,392.4333333,Tatcha,India,Delhi
Rare Beauty,Eye Cream,1720.28,4,432,Combination,26-35,Kojic Acid,Niacinamide,Acne,4/17/2024,2024,April,Female,1,1720.28,Rare Beauty,USA,California
Drunk Elephant,Toner,1686.99,4.3,78,Dry,26-35,Glycolic Acid,Jojoba Oil,Fine lines,3/12/2024,2024,March,Male,4,421.7475,Drunk Elephant,India,Delhi
Rare Beauty,Sunscreen,725.41,3.4,132,Acne-prone,18-25,Kojic Acid,Vitamin C,Pores,7/2/2025,2025,July,Male,5,145.082,Rare Beauty,USA,California
Fresh,Sunscreen,1337.85,3.9,17,Acne-prone,56+,Hyaluronic Acid,Peptides,Pores,4/5/2024,2024,April,Female,5,267.57,Fresh,India,Delhi
Drunk Elephant,Face Mask,1393.08,3.6,757,Acne-prone,36-45,Jojoba Oil,Benzoyl Peroxide,Pores,3/8/2025,2025,March,Male,2,696.54,Drunk Elephant,India,Delhi
Fenty Beauty,Sunscreen,706.69,3.1,11,Dry,26-35,Benzoyl Peroxide,Niacinamide,Dullness,8/29/2024,2024,August,Female,2,353.345,Fenty Beauty,India,Delhi
Youth to the People,Moisturizer,904.6,4.3,30,Normal,56+,Hyaluronic Acid,Niacinamide,Sensitivity,4/15/2025,2025,April,Male,5,180.92,Youth to the People,USA,Los Angeles
La Roche-Posay,Eye Cream,3062.74,5,188,Acne-prone,18-25,Glycolic Acid,Tea Tree Oil,Uneven texture,4/4/2025,2025,April,Female,5,612.548,La Roche-Posay,India,Delhi
La Roche-Posay,Sunscreen,1214.82,4.7,61,Oily,26-35,Azelaic Acid,Peptides,Dryness,11/24/2023,2023,November,Male,4,303.705,La Roche-Posay,India,Delhi
Olay,Facial Oil,1290.37,3.7,185,Normal,56+,Lactic Acid,Tea Tree Oil,Anti-aging,5/10/2024,2024,May,Female,3,430.1233333,Olay,USA,Ohio
Estee Lauder,Cleanser,1826.3,4,147,Normal,46-55,Kojic Acid,Peptides,Redness,7/17/2025,2025,July,Male,2,913.15,Estee Lauder,USA,New York
Kiehl's,Facial Oil,3302.96,5,31,Normal,56+,Alpha Arbutin,Titanium Dioxide,Pores,11/30/2024,2024,November,Male,3,1100.986667,Kiehl's,USA,New York
Clinique,Face Mask,1595.84,4.1,26,Acne-prone,36-45,Zinc Oxide,Ceramides,Dryness,10/23/2024,2024,October,Female,4,398.96,Clinique,USA,Chicago
Fenty Beauty,Moisturizer,1772.48,4.1,68,Dry,18-25,Hyaluronic Acid,Alpha Arbutin,Pores,4/27/2025,2025,April,Male,5,354.496,Fenty Beauty,India,Delhi
L'Oreal,Face Mask,731.28,3.3,47,Oily,46-55,Benzoyl Peroxide,Lactic Acid,Pores,8/19/2025,2025,August,Female,3,243.76,L'Oreal,France,Paris
Aveeno,Serum,2496.63,5,104,Normal,36-45,Benzoyl Peroxide,Ceramides,Fine lines,12/23/2024,2024,December,Male,5,499.326,Aveeno,India,Delhi
Drunk Elephant,Face Mask,701.01,3.6,232,Dry,46-55,Zinc Oxide,Tea Tree Oil,Uneven texture,10/8/2024,2024,October,Female,5,140.202,Drunk Elephant,India,Delhi
CeraVe,Cleanser,1096,4.3,74,Normal,36-45,Vitamin C,Titanium Dioxide,Dullness,4/20/2025,2025,April,Male,1,1096,CeraVe,India,Delhi
Glossier,Facial Oil,1168.56,4.6,16,Oily,18-25,Jojoba Oil,Zinc Oxide,Dryness,10/6/2023,2023,October,Female,3,389.52,Glossier,India,Delhi
Skinceuticals,Serum,3293.14,5,36,Combination,36-45,Jojoba Oil,Bakuchiol,Dark spots,8/5/2025,2025,August,Male,3,1097.713333,Skinceuticals,India,Delhi
Glossier,Night Cream,2652.7,4.3,222,Oily,46-55,Titanium Dioxide,Kojic Acid,Dark spots,10/15/2024,2024,October,Female,5,530.54,Glossier,India,Delhi
The Ordinary,Facial Oil,1215.63,4.2,183,Dry,46-55,Alpha Arbutin,Azelaic Acid,Acne,5/4/2025,2025,May,Male,4,303.9075,The Ordinary,Canada,Toronto
Skinceuticals,Face Mask,1373.93,4.9,34,Combination,26-35,Lactic Acid,Kojic Acid,Hyperpigmentation,1/19/2025,2025,January,Female,1,1373.93,Skinceuticals,India,Delhi
Fresh,Face Mask,882.02,4.3,172,Acne-prone,36-45,Salicylic Acid,Tea Tree Oil,Acne,8/17/2024,2024,August,Female,5,176.404,Fresh,India,Delhi
La Roche-Posay,Toner,835.87,3.8,264,Acne-prone,56+,Peptides,Glycolic Acid,Dark spots,8/24/2024,2024,August,Female,2,417.935,La Roche-Posay,India,Delhi
L'Oreal,Eye Cream,3009.33,4.9,98,Dry,46-55,Hyaluronic Acid,Peptides,Dryness,9/12/2024,2024,September,Male,2,1504.665,L'Oreal,France,Paris
Tatcha,Cleanser,1487.8,4.8,3,Dry,18-25,Kojic Acid,Tea Tree Oil,Sensitivity,12/20/2023,2023,December,Female,1,1487.8,Tatcha,India,Delhi
Glossier,Night Cream,2020.03,3.2,43,Dry,56+,Niacinamide,Titanium Dioxide,Dryness,2/24/2024,2024,February,Male,4,505.0075,Glossier,India,Delhi
La Roche-Posay,Night Cream,2986.17,5,239,Dry,56+,Vitamin C,Titanium Dioxide,Fine lines,3/29/2025,2025,March,Female,5,597.234,La Roche-Posay,India,Delhi
CeraVe,Eye Cream,2367.42,5,1935,Combination,56+,Benzoyl Peroxide,Squalane,Dryness,8/28/2025,2025,August,Male,3,789.14,CeraVe,India,Delhi
Fresh,Toner,1176.35,3.3,18,Normal,36-45,Hyaluronic Acid,Zinc Oxide,Sensitivity,11/18/2023,2023,November,Female,1,1176.35,Fresh,India,Delhi
Aveeno,Night Cream,1991.9,4.6,57,Dry,56+,Niacinamide,Benzoyl Peroxide,Dullness,4/20/2024,2024,April,Male,4,497.975,Aveeno,India,Delhi
L'Oreal,Facial Oil,1835.43,3.1,31,Dry,46-55,Benzoyl Peroxide,Jojoba Oil,Fine lines,9/30/2024,2024,September,Male,3,611.81,L'Oreal,France,Paris
Fenty Beauty,Cleanser,838.64,3.6,15,Normal,26-35,Lactic Acid,Niacinamide,Uneven texture,2/25/2024,2024,February,Female,2,419.32,Fenty Beauty,India,Delhi
Kiehl's,Eye Cream,3288.85,5,71,Normal,36-45,Glycolic Acid,Lactic Acid,Acne,10/26/2023,2023,October,Male,2,1644.425,Kiehl's,USA,New York
Skinceuticals,Night Cream,2343.09,3.8,39,Acne-prone,26-35,Benzoyl Peroxide,Tea Tree Oil,Fine lines,10/1/2024,2024,October,Male,3,781.03,Skinceuticals,India,Delhi
Olay,Face Mask,531.55,3.6,25,Normal,56+,Jojoba Oil,Squalane,Uneven texture,6/22/2024,2024,June,Female,1,531.55,Olay,USA,Ohio
CeraVe,Toner,1276.23,5,11,Oily,18-25,Squalane,Glycolic Acid,Dullness,4/2/2024,2024,April,Male,2,638.115,CeraVe,India,Delhi
Rare Beauty,Moisturizer,2100.3,5,6,Oily,56+,Peptides,Kojic Acid,Uneven texture,8/19/2025,2025,August,Male,5,420.06,Rare Beauty,USA,California
Drunk Elephant,Eye Cream,2520.97,4.6,31,Dry,36-45,Lactic Acid,Salicylic Acid,Fine lines,12/7/2024,2024,December,Male,3,840.3233333,Drunk Elephant,India,Delhi
Youth to the People,Eye Cream,2091.16,5,10,Combination,36-45,Jojoba Oil,Salicylic Acid,Dark spots,9/8/2025,2025,September,Female,3,697.0533333,Youth to the People,USA,Los Angeles
Aveeno,Eye Cream,3201.95,5,152,Sensitive,56+,Peptides,Hyaluronic Acid,Dark spots,12/9/2023,2023,December,Male,2,1600.975,Aveeno,India,Delhi
Fenty Beauty,Toner,1164.62,5,87,Combination,56+,Glycolic Acid,Zinc Oxide,Uneven texture,4/13/2024,2024,April,Female,1,1164.62,Fenty Beauty,India,Delhi
Neutrogena,Face Mask,536.18,3.2,50,Normal,18-25,Squalane,Titanium Dioxide,Dryness,6/19/2024,2024,June,Male,5,107.236,Neutrogena,USA,Los Angeles
Neutrogena,Eye Cream,1306.83,4.7,96,Sensitive,46-55,Vitamin C,Kojic Acid,Anti-aging,6/21/2024,2024,June,Male,1,1306.83,Neutrogena,USA,Los Angeles
Rare Beauty,Toner,847.21,5,9,Acne-prone,56+,Vitamin C,Retinol,Dullness,4/19/2024,2024,April,Male,4,211.8025,Rare Beauty,USA,California
Aveeno,Moisturizer,1443.79,2.8,54,Acne-prone,36-45,Squalane,Lactic Acid,Oiliness,2/27/2025,2025,February,Female,4,360.9475,Aveeno,India,Delhi
Olay,Facial Oil,2249.85,5,4,Dry,56+,Bakuchiol,Azelaic Acid,Anti-aging,10/10/2024,2024,October,Male,2,1124.925,Olay,USA,Ohio
Origins,Eye Cream,1916.87,3.7,3,Combination,26-35,Lactic Acid,Kojic Acid,Anti-aging,11/10/2023,2023,November,Male,2,958.435,Origins,India,Delhi
Tatcha,Face Mask,865.1,3.2,65,Acne-prone,26-35,Peptides,Benzoyl Peroxide,Pores,11/14/2023,2023,November,Female,2,432.55,Tatcha,India,Delhi
Skinceuticals,Cleanser,1062.68,3.9,174,Combination,18-25,Vitamin C,Titanium Dioxide,Oiliness,2/2/2025,2025,February,Male,4,265.67,Skinceuticals,India,Delhi
Youth to the People,Facial Oil,1219.06,4.2,170,Dry,18-25,Glycolic Acid,Jojoba Oil,Acne,4/17/2025,2025,April,Female,1,1219.06,Youth to the People,USA,Los Angeles
CeraVe,Sunscreen,799.5,4.8,34,Acne-prone,26-35,Squalane,Jojoba Oil,Oiliness,6/11/2025,2025,June,Female,1,799.5,CeraVe,India,Delhi
Kiehl's,Night Cream,4649.11,5,21,Combination,36-45,Zinc Oxide,Ceramides,Dark spots,11/1/2024,2024,November,Male,2,2324.555,Kiehl's,USA,New York
Tatcha,Serum,2577.73,4.9,59,Sensitive,36-45,Niacinamide,Kojic Acid,Fine lines,5/21/2025,2025,May,Female,5,515.546,Tatcha,India,Delhi
Fenty Beauty,Eye Cream,1283.91,3.5,38,Acne-prone,56+,Squalane,Ceramides,Dark spots,3/15/2025,2025,March,Male,1,1283.91,Fenty Beauty,India,Delhi
Youth to the People,Face Mask,1035.48,3,74,Acne-prone,56+,Niacinamide,Titanium Dioxide,Uneven texture,6/26/2025,2025,June,Female,4,258.87,Youth to the People,USA,Los Angeles
Paula's Choice,Serum,2166.38,3.8,45,Combination,36-45,Tea Tree Oil,Azelaic Acid,Sensitivity,12/1/2023,2023,December,Female,3,722.1266667,Paula's Choice,India,Delhi
Estee Lauder,Serum,3455.59,5,40,Normal,36-45,Vitamin C,Bakuchiol,Oiliness,12/18/2023,2023,December,Male,3,1151.863333,Estee Lauder,USA,New York
